,ophio_cflo_ID,ophio_kim_ID,rhythmic_24h_ophio_cflo,rhythmic_24h_ophio_kim
561,Ophcf2|00621,Ophio5|3109,no,no
562,Ophcf2|00622,Ophio5|3108,no,no
563,Ophcf2|00623,Ophio5|7051,no,no
564,Ophcf2|00624,Ophio5|7052,no,no
565,Ophcf2|00625,Ophio5|7053,no,no
566,Ophcf2|00626,Ophio5|3403,no,no
567,Ophcf2|00627,Ophio5|5179,no,no
568,Ophcf2|00628,Ophio5|5180,no,no
569,Ophcf2|00629,Ophio5|5181,yes,no
570,Ophcf2|00631,Ophio5|4218,no,no
571,Ophcf2|00632,Ophio5|4217,no,no
572,Ophcf2|00633,Ophio5|7650,yes,no
573,Ophcf2|00634,Ophio5|4811,no,yes
574,Ophcf2|00635,Ophio5|4810,no,no
575,Ophcf2|00636,Ophio5|8043,yes,no
576,Ophcf2|00638,Ophio5|5182,no,no
577,Ophcf2|00639,Ophio5|5183,no,no
578,Ophcf2|00640,Ophio5|5184,no,yes
579,Ophcf2|00641,Ophio5|3635,no,no
580,Ophcf2|00642,Ophio5|3636,yes,yes
581,Ophcf2|00643,Ophio5|821,no,no
582,Ophcf2|00644,Ophio5|4142,yes,yes
583,Ophcf2|00645,Ophio5|4141,yes,no
584,Ophcf2|00646,Ophio5|4140,no,no
585,Ophcf2|00647,Ophio5|4138,no,no
586,Ophcf2|00652,Ophio5|7264,yes,no
587,Ophcf2|00653,Ophio5|2362,no,no
588,Ophcf2|00654,Ophio5|3639,no,no
589,Ophcf2|00655,Ophio5|3638,yes,no
590,Ophcf2|00656,Ophio5|297,no,no
591,Ophcf2|00657,Ophio5|6505,yes,no
592,Ophcf2|00658,Ophio5|593,yes,no
593,Ophcf2|00659,Ophio5|6884,yes,yes
594,Ophcf2|00660,Ophio5|6883,yes,no
595,Ophcf2|00661,Ophio5|6882,yes,no
596,Ophcf2|00663,Ophio5|6881,no,no
597,Ophcf2|00665,Ophio5|5433,no,no
598,Ophcf2|00666,Ophio5|5434,no,no
599,Ophcf2|00667,Ophio5|5435,no,no
600,Ophcf2|00668,Ophio5|5438,no,yes
601,Ophcf2|00669,Ophio5|5439,no,no
602,Ophcf2|00670,Ophio5|5440,no,yes
603,Ophcf2|00671,Ophio5|5442,no,no
604,Ophcf2|00672,Ophio5|7783,yes,no
605,Ophcf2|00673,Ophio5|7784,NA,no
606,Ophcf2|00674,Ophio5|7785,no,yes
607,Ophcf2|00675,Ophio5|5599,no,yes
608,Ophcf2|00681,Ophio5|5604,yes,no
609,Ophcf2|00684,Ophio5|8563,no,no
610,Ophcf2|00685,Ophio5|1899,yes,no
611,Ophcf2|00686,Ophio5|5989,no,no
612,Ophcf2|00687,Ophio5|5990,no,no
613,Ophcf2|00688,Ophio5|5991,yes,yes
614,Ophcf2|00689,Ophio5|5992,no,no
615,Ophcf2|00690,Ophio5|5993,no,no
616,Ophcf2|00691,Ophio5|6159,no,no
617,Ophcf2|00693,Ophio5|6157,no,yes
618,Ophcf2|00695,Ophio5|6155,yes,yes
619,Ophcf2|00696,Ophio5|4881,yes,no
620,Ophcf2|00697,Ophio5|7070,yes,yes
621,Ophcf2|00698,Ophio5|7069,yes,no
622,Ophcf2|00699,Ophio5|6369,NA,no
623,Ophcf2|00701,Ophio5|6183,yes,no
